Customer ID,Recency,Frequency,Monetary,Country,Churn,AvgOrderValue,Country_grp
12000.0,246,1,854.1,United Kingdom,1,854.1,United Kingdom
12001.0,489,1,193.57,United Kingdom,1,193.57,United Kingdom
12006.0,371,2,1254.43,United Kingdom,1,627.215,United Kingdom
12007.0,463,3,209.17000000000002,United Kingdom,1,69.72333333333334,United Kingdom
12009.0,678,1,833.25,United Kingdom,1,833.25,United Kingdom
12010.0,185,4,2014.73,Germany,1,503.6825,Germany
12011.0,189,3,1175.52,United Kingdom,1,391.84,United Kingdom
12015.0,14,2,734.4,Netherlands,0,367.2,Netherlands
12017.0,294,2,1596.5099999999998,United Kingdom,1,798.2549999999999,United Kingdom
12018.0,396,1,984.27,United Kingdom,1,984.27,United Kingdom
12019.0,51,2,1619.08,Netherlands,0,809.54,Netherlands
12022.0,38,1,360.02,United Kingdom,0,360.02,United Kingdom
12023.0,257,2,1201.1399999999999,United Kingdom,1,600.5699999999999,United Kingdom
12024.0,430,1,598.0,United Kingdom,1,598.0,United Kingdom
12025.0,18,4,3334.7699999999995,Germany,0,833.6924999999999,Germany
12027.0,438,4,1600.76,United Kingdom,1,400.19,United Kingdom
12029.0,510,1,711.5999999999999,United Kingdom,1,711.5999999999999,United Kingdom
12031.0,39,2,978.06,United Kingdom,0,489.03,United Kingdom
12032.0,33,1,1371.12,United Kingdom,0,1371.12,United Kingdom
12033.0,545,1,119.52,France,1,119.52,France
12035.0,647,1,78.82,United Kingdom,1,78.82,United Kingdom
12037.0,46,2,1734.33,United Kingdom,0,867.165,United Kingdom
12039.0,595,1,23.94,United Kingdom,1,23.94,United Kingdom
12041.0,338,1,347.6,United Kingdom,1,347.6,United Kingdom
12042.0,179,2,593.24,United Kingdom,0,296.62,United Kingdom
12043.0,716,1,63.92,United Kingdom,1,63.92,United Kingdom
12045.0,640,1,81.6,United Kingdom,1,81.6,United Kingdom
12047.0,50,2,1546.7,United Kingdom,0,773.35,United Kingdom
12048.0,189,3,2147.66,United Kingdom,1,715.8866666666667,United Kingdom
12050.0,409,1,833.3399999999999,United Kingdom,1,833.3399999999999,United Kingdom
12051.0,331,1,1282.02,France,1,1282.02,France
12053.0,4,1,454.3,France,0,454.3,France
12054.0,309,3,3041.82,Germany,1,1013.94,Germany
12056.0,426,1,502.34999999999997,United Kingdom,1,502.34999999999997,United Kingdom
12057.0,325,1,1108.0,United Kingdom,1,1108.0,United Kingdom
12059.0,356,2,1449.78,United Kingdom,1,724.89,United Kingdom
12061.0,299,1,892.0,United Kingdom,1,892.0,United Kingdom
12063.0,344,2,1988.5800000000002,United Kingdom,1,994.2900000000001,United Kingdom
12064.0,214,1,2027.76,Germany,1,2027.76,Germany
12067.0,80,3,2342.1,United Kingdom,0,780.6999999999999,United Kingdom
12068.0,542,3,1817.48,United Kingdom,1,605.8266666666667,United Kingdom
12069.0,487,2,1154.47,United Kingdom,1,577.235,United Kingdom
12072.0,192,1,1032.24,United Kingdom,1,1032.24,United Kingdom
12073.0,395,1,945.12,France,1,945.12,France
12075.0,677,1,480.24,United Kingdom,1,480.24,United Kingdom
12076.0,548,2,1701.67,Australia,1,850.835,Australia
12077.0,96,1,67.60000000000001,Australia,0,67.60000000000001,Australia
12078.0,114,2,2056.41,United Kingdom,0,1028.205,United Kingdom
12079.0,184,2,385.3,United Kingdom,1,192.65,United Kingdom
12081.0,141,4,4421.11,United Kingdom,0,1105.2775,United Kingdom
12082.0,269,2,269.32,United Kingdom,1,134.66,United Kingdom
12083.0,321,2,913.41,United Kingdom,1,456.705,United Kingdom
12084.0,618,1,1048.14,Germany,1,1048.14,Germany
12085.0,272,2,1355.25,United Kingdom,1,677.625,United Kingdom
12086.0,395,1,7.0,United Kingdom,1,7.0,United Kingdom
12088.0,419,1,335.62,France,1,335.62,France
12089.0,12,2,2353.88,Netherlands,0,1176.94,Netherlands
12090.0,404,1,182.16,Germany,1,182.16,Germany
12091.0,342,2,375.46,United Kingdom,1,187.73,United Kingdom
12092.0,506,2,567.3499999999999,United Kingdom,1,283.67499999999995,United Kingdom
12093.0,353,2,935.41,United Kingdom,1,467.705,United Kingdom
12095.0,157,2,658.57,Germany,0,329.285,Germany
12096.0,484,1,31.349999999999998,United Kingdom,1,31.349999999999998,United Kingdom
12097.0,131,1,923.55,Netherlands,0,923.55,Netherlands
12099.0,251,1,2.64,United Kingdom,1,2.64,United Kingdom
12100.0,226,1,110.63,United Kingdom,1,110.63,United Kingdom
12101.0,258,2,613.0,United Kingdom,1,306.5,United Kingdom
